,state_code,state,district,sero_0,N_0,sero_1,N_1,sero_2,N_2,sero_3,N_3,sero_4,N_4,sero_5,N_5,sero_6,N_6,N_tot,Rt,Rt_upper,Rt_lower,S0,I0,R0,D0,dT0,dD0,V0
73,BR,Bihar,Arwal,0.26063213,316545.0,0.26063213,127903.0,0.28083447,91363.0,0.27336225,64668.0,0.27607262,41752.0,0.24168539,36244.0,0.22953035,20554.0,699029.0,2.1372591287855904,2.244622184274572,2.029223630326146,438390.21575268183,30367.85260785339,230270.93163946475,0,6308.089387723871,0,36106.45347177011
74,BR,Bihar,Aurangabad,0.26333979999999996,1150370.0,0.26333979999999996,476599.0,0.28279757,334906.0,0.27614325,229665.0,0.27871725,143867.0,0.24382073,124529.0,0.23080617,72552.0,2532488.0,3.7120908769383654,3.805756573087936,3.617913781701345,1518886.612101909,58759.33441271924,954842.0534853718,0,27152.94061260526,0,130808.82215160766
75,BR,Bihar,Banka,0.25614306,907630.0,0.25614306,383605.0,0.27788866,272456.0,0.26955357,189624.0,0.27175897,120993.0,0.23827237,102600.0,0.22733685,55270.0,2032178.0,2.1755155960994315,2.648924576181772,1.6887469692316985,1342535.8709732774,0.0,690454.0659522694,0,8622.819916003182,0,104966.66147377984
76,BR,Bihar,Begusarai,0.27429196,1370080.0,0.27429196,581608.0,0.29144493,389885.0,0.28770959999999995,254989.0,0.2909849,162198.0,0.2541929,140134.0,0.23856461,67664.0,2966558.0,2.904933409561983,3.1478756186249552,2.6585206312672574,1844200.169859591,88514.57033070945,1033843.2598096996,0,23690.930451512595,0,153229.53468068907
77,BR,Bihar,Bhagalpur,0.27625033,1362298.0,0.27625033,590581.0,0.29201309999999997,398642.0,0.2895255,276018.0,0.29384622,177335.0,0.25696146,148130.0,0.241009,72189.0,3025193.0,1.8296780171916263,2.209251112455586,1.441564297129662,1785011.989130549,151243.1962807863,1088917.8145886648,20,36597.539000315584,2,156258.16711127097
78,BR,Bihar,Bhojpur,0.26926926,1195590.0,0.26926926,526797.0,0.28710815,358099.0,0.28187507,254973.0,0.28476890000000005,167258.0,0.24981226,137029.0,0.23499332,83102.0,2722848.0,2.290348475285507,2.4056550892055824,2.174265872506787,1778453.0013169625,44221.119571480434,900173.879111557,0,17821.916200896827,0,140641.35339549906
79,BR,Bihar,Buxar,0.26399606,759162.0,0.26399606,315592.0,0.28316435,218298.0,0.27673253,157074.0,0.2791467,106450.0,0.24415635,93018.0,0.23149006,54530.0,1704124.0,2.8017646587419613,3.3687013477820065,2.2155607060346743,1141077.1924638702,48391.67593145545,514655.1316046744,0,12634.09654262848,0,88021.91885619448
80,BR,Bihar,Darbhanga,0.26411274,1805938.0,0.26411274,729406.0,0.28351688,502246.0,0.27738902,363725.0,0.28052762,238069.0,0.24494472,198970.0,0.23218961,92275.0,3930629.0,2.1011424271688206,2.186635577710267,2.0152234286309234,2533928.7343565533,0.0,1401007.218486286,2,13662.697129460124,1,203026.0162357932
81,BR,Bihar,East Champaran,0.26475334,1857845.0,0.26475334,686360.0,0.2832822,528004.0,0.27725732,360201.0,0.27973598,229290.0,0.24523778,188703.0,0.23281154,79800.0,3930203.0,3.029670005427675,3.1511354717301137,2.9073431312418796,2669608.4191588187,21941.918729486875,1238648.6621116945,4,16283.092979527783,0,203004.01235730035
82,BR,Bihar,Gaya,0.2684694,1962171.0,0.2684694,847855.0,0.28659263,556143.0,0.28155223,380487.0,0.28476283,237886.0,0.24837045,190078.0,0.23461615,109369.0,4283989.0,2.4932363624250153,2.7798257814624865,2.201804870347606,2294200.638545071,419845.2155537652,1569927.1459011643,16,84830.98817975083,1,221277.87187952857
83,BR,Bihar,Gopalganj,0.25973904,1189467.0,0.25973904,453340.0,0.28048652,316815.0,0.27277032,229387.0,0.27509096,158750.0,0.24059068,137332.0,0.22874008,74580.0,2559671.0,2.246331989804198,2.667438069467093,1.814688044113126,1692881.1117997307,31280.04694603372,835509.8412542356,0,12761.188944539092,0,132212.8865390982
84,BR,Bihar,Jamui,0.26179436,788501.0,0.26179436,347418.0,0.28196797,232800.0,0.27514085,159252.0,0.27740416,102939.0,0.24324092,83440.0,0.23094968,40637.0,1754987.0,3.5644672136111812,3.6962547521381355,3.4316650310113945,1187084.7909688158,3380.9226886027027,564521.2863425814,0,8150.04696930249,0,90649.10963502432
85,BR,Bihar,Jehanabad,0.26659805,501710.0,0.26659805,212534.0,0.28503627,150182.0,0.27929682,104400.0,0.28187642,65220.0,0.24626546,57031.0,0.23255265,32855.0,1123932.0,1.6598467334746954,2.0699272268569695,1.239779509411042,622488.2461656497,50632.63843193388,450811.11540241644,0,12279.188831303125,0,58053.66939487994
86,BR,Bihar,Kaimur,0.2572049,749593.0,0.2572049,289709.0,0.27842516,205710.0,0.2700587,147703.0,0.2724002,97220.0,0.23862773,80977.0,0.2271321,48611.0,1619523.0,4.048716072572871,4.225142325092711,3.870466656615536,1034863.9943188652,20224.19185372826,564434.8138274065,0,8491.416571191192,0,83652.08288348773
87,BR,Bihar,Katihar,0.26338634,1477247.0,0.26338634,576955.0,0.28326222,383926.0,0.2767449,276477.0,0.28006685,172818.0,0.24544758,121682.0,0.23288132,58983.0,3068088.0,3.711723663811374,3.8687893141520444,3.553214671146214,2099998.115124097,0.0,975406.1528755069,0,10217.648751529237,0,158473.79238815018
88,BR,Bihar,Khagaria,0.25852048,804242.0,0.25852048,310403.0,0.27947634,213086.0,0.27200505,142445.0,0.2743521,88729.0,0.24001315,73725.0,0.22920325,33342.0,1665972.0,3.6543998440455856,4.779900642178554,2.450331748472892,1161112.446460776,16211.22441694839,488648.32912227564,0,5989.591955819705,0,86051.28042366168
89,BR,Bihar,Kishanganj,0.26379603,833006.0,0.26379603,306609.0,0.28356415,204521.0,0.27674679999999996,156593.0,0.28039166,94083.0,0.24579236,65591.0,0.23368728,28773.0,1689176.0,3.293323080431022,3.509684101420995,3.0742136944193517,1114512.572657906,0.0,579189.9783572746,0,5502.232771255854,0,87249.82032166155
90,BR,Bihar,Lakhisarai,0.2690093,461918.0,0.2690093,188724.0,0.28702468,130151.0,0.28202677,88689.0,0.28462919999999997,57459.0,0.25023368,48526.0,0.23530576,24670.0,1000137.0,2.4749575686576852,2.6601877410797248,2.287716698980903,645073.0938413648,14110.244035364187,340953.6621232709,0,5094.929875606343,0,51659.3732962377
91,BR,Bihar,Madhepura,0.2575575,949184.0,0.2575575,362587.0,0.27885735,264052.0,0.27088454,180183.0,0.27299666,115823.0,0.23920913,87718.0,0.22798142,38841.0,1998388.0,2.914530568842121,3.013905579097302,2.814579723985944,1344526.4472944313,0.0,669177.6916473857,0,8336.79892621851,0,103221.33036046248
92,BR,Bihar,Madhubani,0.25651039999999997,2039499.0,0.25651039999999997,820956.0,0.2780054,593182.0,0.2695807,416242.0,0.27178979999999997,274016.0,0.23815702,228798.0,0.22702496,109085.0,4481778.0,2.8246134999375743,2.958769466590657,2.689405946508735,3094649.054695165,0.0,1393174.9935108416,0,11101.194510380074,0,231494.1280373245
93,BR,Bihar,Munger,0.28540617,587112.0,0.28540617,273035.0,0.29806492,183666.0,0.29924718,133047.0,0.3051751,85150.0,0.2644939,67307.0,0.24699899999999997,35862.0,1365179.0,2.646848288101486,3.0587325055764607,2.2248882146097753,779370.6565853395,40911.2737920417,544895.0696226188,2,18270.374705786886,0,70514.63107272753
94,BR,Bihar,Muzaffarpur,0.26447666,2115011.0,0.26447666,901724.0,0.28390482,636205.0,0.27813575,442984.0,0.2808184,294091.0,0.24487889999999998,269771.0,0.23223627,133246.0,4793032.0,2.2563232468700756,2.624004624567257,1.8806336499237561,2911027.8960263687,148148.52418790734,1733854.579785724,1,40803.36647727618,1,247571.1120664597
95,BR,Bihar,Nalanda,0.27128735,1286397.0,0.27128735,542731.0,0.28855349999999996,377973.0,0.28346556,264224.0,0.28641915,169974.0,0.24982736,152046.0,0.23524,81109.0,2874454.0,2.9770658020614684,3.290574571416472,2.657753394546897,1840657.9682970878,2824.007959579816,1030972.0237433324,0,12947.236772991453,0,148472.15152410485
96,BR,Bihar,Nawada,0.26386368,1012864.0,0.26386368,427917.0,0.28332722,282037.0,0.27652836,203591.0,0.27883232,129290.0,0.24460712,101385.0,0.23140192,58130.0,2215214.0,2.815856271594341,3.2285929172112517,2.3930015087840264,1353422.8113054468,0.0,870145.5385628255,0,14424.831055402394,0,114420.8912949445
97,BR,Bihar,Patna,0.30300432,2438910.0,0.30300432,1187654.0,0.31243366,809028.0,0.3178847,573626.0,0.32502559999999997,367859.0,0.28122905,284210.0,0.2573691,163569.0,5824856.0,1.8793192802669596,1.9174273799200736,1.8411268026274303,2315053.9075547718,276666.056170817,3232790.0362744112,346,90131.9776494639,5,300867.1916955677
98,BR,Bihar,Purnia,0.26503837,1558273.0,0.26503837,597239.0,0.28449717,406985.0,0.27832916,289571.0,0.2812848,181087.0,0.24697857,133885.0,0.23450226,57720.0,3224760.0,2.6394088411789443,2.805845171920892,2.4713509192657566,2094362.563358149,4859.940853921231,1125537.4957879297,0,13933.328244889613,0,166566.26105301123
99,BR,Bihar,Rohtas,0.26968008,1310597.0,0.26968008,564577.0,0.28702405,395496.0,0.28200385,278246.0,0.28508413,176646.0,0.24953167,147607.0,0.23489064,82940.0,2956109.0,2.716858841575441,2.8157839235320288,2.6173631424594723,1963703.3662948906,44488.52914914512,947914.1045559642,3,14979.707678567689,0,152689.81983005122
100,BR,Bihar,Saharsa,0.26220596,898412.0,0.26220596,351280.0,0.28235993,246274.0,0.27547485,169589.0,0.27855423,108210.0,0.24342667,85005.0,0.23063308,40655.0,1899425.0,2.447700232356085,2.813152804124355,2.074337279947566,1222197.2862232435,17993.036715049762,659234.6770617068,0,11852.615965899146,0,98109.6640992247
101,BR,Bihar,Samastipur,0.25636,1964634.0,0.25636,802296.0,0.27800915,543237.0,0.26995188,370102.0,0.27216431,252682.0,0.23806724,212593.0,0.22706047,103537.0,4249081.0,2.2590693945126867,2.493143982324055,2.0217746510806895,2781074.157401872,39869.39396742359,1428137.4486307045,0,25814.89172212418,0,219474.79349824172
102,BR,Bihar,Saran,0.26315677,1799412.0,0.26315677,716703.0,0.282646,493938.0,0.2761357,353093.0,0.27883646,236837.0,0.24320157,220794.0,0.23065236,127755.0,3948532.0,3.2586490162617503,3.339445249552328,3.177472545111805,2464883.769406895,121238.4999078142,1362409.7306852909,0,37166.423526726954,0,203950.7473077589
103,BR,Bihar,Sheikhpura,0.27194908,296467.0,0.27194908,117008.0,0.2898804,80696.0,0.2853115,56202.0,0.2873428,36169.0,0.25233424,32188.0,0.23571883,16688.0,635418.0,2.326056708369837,2.6236308995708595,2.0232587603894334,430944.8496980938,0.0,204486.8573966366,0,2771.175318709281,0,32820.79921165677
104,BR,Bihar,Sheohar,0.25722295,306018.0,0.25722295,115223.0,0.27845716,83084.0,0.26988074,56825.0,0.27196124,37570.0,0.23867270000000004,38409.0,0.22703329,17419.0,654548.0,2.8010522964128417,3.2352330210219042,2.355660467667085,428120.6066607863,5120.851253103901,221306.5420861098,0,2592.098105566756,0,33808.90765195748
105,BR,Bihar,Sitamarhi,0.25895828,1594383.0,0.25895828,611957.0,0.27988620000000003,436057.0,0.27193436,303925.0,0.27433363,199106.0,0.24015132,172245.0,0.2285565,77684.0,3395357.0,2.021150000365546,2.165995975204598,1.8750774074431584,2264937.6632183176,9299.742017721757,1121119.594763961,0,9732.409270612852,0,175377.98795264424
106,BR,Bihar,Siwan,0.25918216,1504260.0,0.25918216,611188.0,0.27977154,417614.0,0.27211258,295983.0,0.27411324,200052.0,0.23942547,191095.0,0.22774372,107152.0,3327344.0,2.666515028490645,2.7238992030144065,2.6089393112945385,2112886.1631060285,72333.6472321609,1142124.1896618106,0,29743.609907721977,0,171864.9602814382
